date,mean summer surface temperature
1936,20.91
1937,20.53
1938,20.43
1939,19.09
1940,18.87
1941,23.65
1942,20.88
1943,21.02
1944,19.94
1945,20.37
1946,21.54
1947,21.23
1948,16.57
1949,22.8
1950,24.42
1951,22.19
1952,25.68
1953,20.25
1954,18.02
1955,19.38
1956,18.37
1957,23.77
1958,20.25
1959,21.27
1960,19.24
1961,23.25
1962,18.53
1963,21.49
1964,21.12
1965,18.41
1966,19.7
1967,22.2
1968,19.15
1969,21.0
1970,19.24
1971,19.94
1972,20.13
1973,20.45
1974,20.21
1975,18.8
1976,23.9
1977,21.07
1978,20.01
1979,19.41
1980,16.51
1981,22.03
1982,21.43
1983,21.67
1984,18.59
1985,19.49
1986,21.01
1987,19.95
1988,20.06
1989,20.75
1990,19.18
1991,21.3
1992,21.65
1993,21.36
1994,25.94
1995,22.03
1996,19.7
1997,19.61
1998,20.66
1999,21.29
2000,21.25
2001,21.53
2002,22.24
2003,23.6
2004,21.38
2005,21.68
2006,23.21
2007,19.73
2008,21.95
2009,22.14
2010,22.29
2011,21.76
2012,21.34
2013,20.86
2014,20.62
2015,24.86
2016,21.38
2017,22.53
2018,24.16
2019,24.39
2020,22.01
2021,21.0
2022,23.9
2023,22.17
