date,minimum bottom oxygen concentration
1937,0.0
1938,0.2
1939,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.1
1949,0.0
1950,0.0
1951,0.1
1952,0.0
1953,0.1
1954,0.0
1955,0.1
1956,0.15
1957,0.05
1958,0.2
1959,0.15
1960,0.0
1961,0.15
1962,0.0
1963,0.1
1964,0.2
1965,0.15
1966,0.25
1967,0.25
1968,0.75
1969,0.6
1970,1.0
1971,0.2
1973,0.05
1974,1.05
1975,0.7
1976,0.3
1977,0.8
1978,0.45
1979,0.25
1980,0.55
1981,0.5
1982,0.4
1983,0.35
1984,0.3
1985,0.3
1986,0.55
1987,0.8
1988,0.2
1989,0.15
1990,0.4
1991,0.8
1992,0.6
1993,0.65
1994,0.6
1995,1.2
1996,0.9
1997,0.5
1998,0.8
1999,0.4
2000,0.4
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.1
2009,0.1
2010,0.1
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.05
2023,0.0
