date,mean summer hypolimnetic oxygen concentration
1936,7.26
1937,7.33
1938,7.65
1939,7.4
1940,7.89
1941,7.09
1942,6.9
1943,5.63
1944,6.18
1945,6.3
1946,7.13
1947,6.8
1948,6.88
1949,6.65
1950,6.34
1951,6.99
1952,6.81
1953,7.1
1954,6.49
1955,8.19
1956,8.06
1957,6.31
1958,8.13
1959,6.83
1960,5.59
1961,5.23
1962,7.18
1963,5.04
1964,4.92
1965,5.63
1966,6.54
1967,8.01
1968,8.42
1969,8.53
1970,9.15
1971,8.2
1972,6.39
1973,6.62
1974,7.91
1975,8.49
1976,8.32
1977,7.41
1978,8.38
1979,7.52
1980,7.85
1981,8.56
1982,9.11
1983,8.44
1984,8.9
1985,8.47
1986,8.68
1987,8.55
1988,7.95
1989,6.26
1990,6.94
1991,7.41
1992,7.79
1993,7.37
1994,8.59
1995,8.44
1996,7.99
1997,7.52
1998,6.31
1999,8.07
2000,7.58
2001,7.04
2002,6.92
2003,7.94
2004,7.45
2005,7.69
2006,7.85
2007,5.9
2008,6.74
2009,6.57
2010,6.39
2011,5.35
2012,7.42
2013,7.75
2014,5.82
2015,6.4
2016,5.65
2017,5.6
2018,7.43
2019,6.46
2020,6.99
2021,7.65
2022,7.55
2023,6.93
