date,mean spring epilimnion 0-10 m oxygen concentration
1937,11.39
1938,12.42
1939,12.0
1940,10.32
1941,11.44
1943,13.98
1944,12.5
1945,12.56
1946,13.6
1947,11.03
1948,12.67
1949,12.01
1950,12.41
1951,11.18
1952,14.53
1953,12.37
1954,11.79
1955,11.75
1956,11.02
1957,12.85
1958,11.42
1959,13.88
1960,11.58
1961,12.43
1962,12.9
1963,12.57
1964,10.1
1965,10.48
1966,12.07
1967,11.75
1968,14.28
1969,11.05
1970,10.62
1971,13.57
1972,11.32
1973,11.23
1974,14.11
1975,11.76
1976,13.97
1977,11.79
1978,11.76
1979,11.8
1980,11.68
1981,14.34
1982,12.11
1983,11.49
1984,12.1
1985,11.23
1986,11.27
1987,11.37
1988,11.96
1989,11.64
1990,12.0
1991,12.98
1992,11.41
1993,11.97
1994,12.59
1995,11.56
1996,11.62
1997,12.56
1998,11.95
1999,12.56
2000,12.22
2001,12.37
2002,12.25
2003,12.83
2004,11.61
2005,13.27
2006,11.53
2007,13.06
2008,11.52
2009,11.25
2010,12.35
2011,12.49
2012,12.75
2013,11.63
2014,12.62
2015,11.74
2016,12.61
2017,13.01
2018,12.07
2019,12.5
2020,12.38
2021,11.07
2022,12.11
2023,11.32
