date,mean summer bottom oxygen concentration
1936,0.51
1937,0.67
1938,1.08
1939,0.77
1940,1.18
1941,0.41
1942,0.77
1943,0.3
1944,0.02
1945,0.0
1946,0.2
1947,0.32
1948,1.6
1949,0.39
1950,0.28
1951,0.33
1952,0.25
1953,0.93
1954,0.19
1955,2.95
1956,0.48
1957,0.35
1958,1.38
1959,0.22
1960,0.23
1961,0.38
1962,0.53
1963,0.23
1964,0.2
1965,0.25
1966,0.39
1967,1.43
1968,2.65
1969,3.82
1970,6.88
1971,2.64
1972,0.81
1973,0.62
1974,6.35
1975,1.55
1976,1.32
1977,1.08
1978,1.95
1979,1.6
1980,3.35
1981,1.2
1982,1.65
1983,2.19
1984,1.9
1985,3.67
1986,2.73
1987,2.22
1988,2.68
1989,0.57
1990,2.4
1991,3.89
1992,2.97
1993,1.46
1994,4.96
1995,3.98
1996,4.15
1997,3.24
1998,1.02
1999,4.91
2000,0.7
2001,0.06
2002,0.9
2003,1.52
2004,0.76
2005,0.54
2006,1.22
2007,1.25
2008,0.47
2009,0.1
2010,0.33
2011,0.04
2012,1.23
2013,0.22
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.03
2019,0.53
2020,1.25
2021,4.59
2022,2.25
2023,0.8
