date,mean late autumn bottom oxygen concentration
1936,0.18
1937,1.23
1938,0.71
1939,0.21
1940,1.18
1941,0.41
1942,0.19
1943,0.0
1944,0.06
1945,0.09
1946,0.07
1947,0.18
1948,0.27
1949,0.45
1950,0.1
1951,0.19
1952,0.06
1953,0.26
1954,0.16
1955,0.4
1956,0.33
1957,0.48
1958,0.69
1959,0.26
1960,0.32
1961,0.48
1962,0.52
1963,0.24
1964,0.42
1965,0.3
1966,0.46
1967,0.65
1968,0.85
1969,4.16
1970,1.62
1971,0.73
1972,1.42
1973,0.52
1974,1.24
1975,0.99
1976,0.87
1977,1.62
1978,1.47
1979,0.4
1980,0.84
1981,1.58
1982,0.4
1983,0.69
1984,0.37
1985,0.34
1986,1.12
1987,2.7
1988,1.32
1989,0.2
1990,1.05
1991,0.94
1992,1.51
1993,0.84
1994,1.15
1995,1.57
1996,1.21
1997,0.83
1998,1.07
1999,1.85
2000,0.48
2001,0.13
2002,0.01
2003,0.38
2004,0.28
2005,0.21
2006,0.6
2007,0.08
2008,0.2
2009,0.1
2010,0.1
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.17
2021,2.04
2022,0.09
2023,0.17
