date,mean annual heat content
1937,1418977068.01
1938,1408909073.5
1939,1291694542.01
1944,1284837737.8
1945,1314514872.1
1946,1313786201.67
1947,1331336656.32
1948,1449201992.24
1949,1405402173.21
1950,1392847911.76
1951,1358503329.67
1952,1299467246.25
1953,1272390693.87
1954,1270524427.02
1955,1322491457.35
1956,1233616995.99
1957,1315176142.95
1958,1346831340.42
1959,1370860413.64
1960,1298503104.42
1961,1441355075.01
1962,1355750491.72
1963,1289837751.54
1964,1304848523.18
1965,1392572835.28
1966,1481058075.7
1967,1469383354.31
1968,1424833327.04
1969,1363902950.4
1970,1313196185.17
1971,1390440305.08
1973,1268583778.87
1974,1355914941.41
1975,1383532802.22
1976,1361953582.03
1977,1492391696.38
1978,1389424445.53
1979,1357784844.44
1980,1360378910.3
1981,1314890090.29
1982,1341816804.96
1983,1400785581.97
1984,1351170573.3
1985,1305543883.0
1986,1310495856.61
1987,1287194677.26
1988,1397301633.34
1989,1433313043.36
1990,1475786532.0
1991,1384161965.46
1992,1412401508.42
1993,1406273925.78
1994,1493992011.48
1995,1502320478.74
1996,1404295162.5
1997,1450119805.09
1998,1458012644.61
1999,1340630281.27
2000,1413763087.68
2001,1506357464.69
2002,1511056227.18
2003,1426513306.21
2004,1400672197.93
2005,1379882725.85
2006,1356224035.57
2007,1575396926.72
2008,1523513353.7
2009,1461937551.06
2010,1411041828.36
2011,1426549029.52
2012,1438426269.42
2013,1404826258.3
2014,1537015480.86
2015,1533580235.76
2016,1552503420.21
2017,1494150022.68
2018,1528550389.29
2019,1583935326.89
2020,1641934028.3
2021,1565495296.99
2022,1649900032.57
2023,1643150612.69
