date,mean annual Secchi depth
1937,3.77
1938,4.83
1939,3.9
1946,4.22
1951,3.91
1953,3.75
1954,4.11
1955,5.19
1956,4.24
1957,3.59
1958,4.29
1959,3.5
1960,2.92
1961,3.09
1962,3.68
1963,3.25
1964,4.9
1965,4.77
1966,5.7
1967,6.99
1968,6.28
1969,6.57
1970,6.75
1971,5.47
1973,7.2
1974,6.73
1975,5.86
1976,4.76
1977,5.71
1978,4.69
1979,4.45
1980,6.32
1981,5.87
1982,5.65
1983,5.7
1984,6.1
1985,5.62
1986,5.47
1987,5.49
1988,4.89
1989,4.95
1990,5.77
1991,5.04
1992,4.82
1993,5.46
1994,4.5
1995,5.78
1996,4.64
1997,4.24
1998,4.34
1999,3.87
2000,4.36
2001,3.66
2002,4.38
2003,5.09
2004,5.57
2005,5.93
2006,5.14
2007,4.03
2008,4.58
2009,4.86
2010,5.1
2011,4.68
2012,4.58
2013,4.85
2014,4.66
2015,4.22
2016,4.24
2017,4.03
2018,4.28
2019,5.39
2020,5.21
2021,4.84
2022,5.63
2023,5.17
