date,mean spring epilimnion 0-5 m oxygen concentration
1937,11.42
1938,12.6
1939,12.0
1940,10.37
1941,11.76
1943,13.12
1944,13.18
1945,12.75
1946,14.26
1947,11.24
1948,12.87
1949,12.68
1950,12.64
1951,11.35
1952,15.55
1953,12.94
1954,11.87
1955,12.1
1956,11.15
1957,13.22
1958,11.65
1959,14.56
1960,12.24
1961,13.0
1962,14.08
1963,13.42
1964,10.53
1965,10.49
1966,12.45
1967,12.33
1968,15.55
1969,11.16
1970,10.64
1971,14.81
1972,11.42
1973,11.62
1974,15.68
1975,11.87
1976,14.86
1977,12.04
1978,12.03
1979,11.99
1980,11.89
1981,15.54
1982,12.13
1983,11.72
1984,12.19
1985,11.31
1986,11.55
1987,11.48
1988,11.99
1989,11.84
1990,12.19
1991,13.65
1992,11.56
1993,12.13
1994,12.94
1995,11.45
1996,11.72
1997,12.88
1998,12.1
1999,13.2
2000,12.17
2001,12.46
2002,12.48
2003,12.8
2004,11.63
2005,13.5
2006,11.6
2007,12.99
2008,11.68
2009,11.2
2010,12.55
2011,12.28
2012,12.73
2013,11.56
2014,12.59
2015,11.81
2016,12.85
2017,13.04
2018,12.1
2019,12.67
2020,12.23
2021,11.12
2022,12.03
2023,11.35
