date,minimum bottom temperature
1937,4.4
1938,4.3
1939,4.3
1944,4.3
1945,4.2
1946,3.9
1947,4.0
1948,4.2
1949,4.2
1950,4.25
1951,4.2
1952,4.2
1953,3.9
1954,4.05
1955,3.9
1956,3.85
1957,3.9
1958,4.1
1959,4.2
1960,4.2
1961,4.2
1962,4.2
1963,4.3
1964,4.2
1965,4.2
1966,4.2
1967,4.3
1968,4.2
1969,4.1
1970,3.8
1971,4.1
1973,3.8
1974,4.2
1975,4.2
1976,4.2
1977,4.3
1978,4.2
1979,4.0
1980,4.1
1981,3.9
1982,3.9
1983,4.0
1984,4.0
1985,3.8
1986,4.0
1987,4.0
1988,4.2
1989,4.4
1990,4.6
1991,4.1
1992,4.2
1993,4.1
1994,4.25
1995,4.4
1996,4.1
1997,4.45
1998,4.51
1999,3.96
2000,4.24
2001,4.2
2002,4.5
2003,4.05
2004,4.1
2005,4.3
2006,4.1
2007,4.2
2008,4.6
2009,4.35
2010,4.4
2011,4.36
2012,4.2
2013,4.2
2014,4.4
2015,4.5
2016,4.71
2017,4.9
2018,4.64
2019,4.62
2020,4.69
2021,4.7
2022,4.98
2023,5.2
