date,mean autumn hypolimnetic oxygen concentration
1936,5.59
1937,5.77
1938,5.11
1939,5.62
1940,6.64
1942,5.25
1943,3.48
1944,4.71
1945,5.01
1946,5.71
1947,5.45
1948,5.08
1949,5.05
1950,4.27
1951,5.38
1952,4.87
1953,5.68
1954,4.5
1955,6.51
1956,6.76
1957,5.06
1958,6.3
1959,5.44
1960,4.28
1961,3.8
1962,5.76
1963,3.98
1964,3.74
1965,4.58
1966,5.48
1967,6.75
1968,7.03
1969,6.96
1970,8.3
1971,6.61
1972,4.99
1973,5.29
1974,6.53
1975,6.95
1976,6.9
1977,6.35
1978,6.63
1979,6.12
1980,6.44
1981,6.85
1982,7.52
1983,6.76
1984,7.41
1985,7.47
1986,7.18
1987,7.35
1988,6.3
1989,4.62
1990,5.32
1991,6.03
1992,6.22
1993,5.82
1994,7.11
1995,7.02
1996,6.41
1997,6.15
1998,4.75
1999,6.31
2000,6.06
2001,4.34
2002,4.69
2003,6.06
2004,5.43
2005,4.41
2006,6.56
2007,4.43
2008,5.01
2009,5.13
2010,5.37
2011,5.02
2012,5.87
2013,6.19
2014,4.18
2015,4.65
2016,4.63
2017,3.88
2018,5.77
2019,4.93
2020,5.38
2021,6.25
2022,5.89
2023,5.36
