date,mean late autumn hypolimnetic oxygen concentration
1936,5.31
1937,6.26
1938,5.41
1939,5.81
1940,6.47
1941,6.47
1942,4.94
1943,3.7
1944,5.53
1945,5.0
1946,6.02
1947,5.57
1948,4.61
1949,4.69
1950,4.29
1951,5.16
1952,5.6
1953,5.37
1954,4.29
1955,6.37
1956,6.43
1957,5.1
1958,5.79
1959,5.24
1960,4.09
1961,3.37
1962,5.24
1963,3.68
1964,3.69
1965,4.65
1966,5.39
1967,6.3
1968,6.68
1969,6.95
1970,7.83
1971,6.4
1972,5.2
1973,5.41
1974,7.03
1975,6.93
1976,6.75
1977,6.4
1978,6.46
1979,5.93
1980,6.46
1981,7.3
1982,7.26
1983,6.71
1984,7.26
1985,7.2
1986,6.91
1987,6.72
1988,6.0
1989,4.26
1990,5.18
1991,5.77
1992,5.94
1993,5.94
1994,6.88
1995,6.64
1996,6.39
1997,5.73
1998,4.93
1999,6.5
2000,5.73
2001,4.48
2002,3.87
2003,5.86
2004,5.39
2005,4.95
2006,6.26
2007,4.7
2008,5.06
2009,4.71
2010,5.28
2011,4.77
2012,5.78
2013,6.17
2014,3.83
2015,4.55
2016,4.31
2017,3.55
2018,5.35
2019,4.8
2020,5.2
2021,6.19
2022,5.51
2023,5.15
