date,mean annual bottom density
1973,1000.144
1974,1000.1601
1975,1000.1593
1976,1000.1558
1977,1000.1595
1978,1000.1609
1979,1000.1618
1980,1000.1614
1981,1000.1634
1982,1000.1648
1983,1000.1677
1984,1000.1643
1985,1000.1647
1986,1000.1627
1987,1000.1531
1988,1000.1557
1989,1000.1543
1990,1000.1491
1991,1000.1613
1992,1000.1592
1993,1000.1592
1994,1000.1541
1995,1000.1543
1996,1000.1603
1997,1000.1624
1998,1000.1613
1999,1000.1666
2000,1000.1668
2004,1000.1649
2005,1000.1622
2006,1000.1645
2007,1000.1607
2008,1000.1609
2009,1000.1594
2010,1000.1603
2011,1000.1624
2012,1000.1638
2013,1000.1644
2014,1000.1651
2015,1000.1623
2016,1000.16
2017,1000.1604
2018,1000.1618
2019,1000.1584
2020,1000.1522
2021,1000.1511
2022,1000.1539
2023,1000.1507
