date,mean spring surface temperature
1937,6.2
1938,6.3
1939,6.69
1940,6.0
1941,7.24
1943,22.48
1944,9.3
1945,12.1
1946,11.63
1947,6.51
1948,11.09
1949,12.98
1950,7.4
1951,6.31
1952,11.22
1953,7.48
1954,7.0
1955,8.78
1956,4.88
1957,9.79
1958,5.99
1959,10.65
1960,9.22
1961,11.08
1962,10.13
1963,9.26
1964,7.74
1965,5.45
1966,9.97
1967,9.01
1968,11.64
1969,6.27
1970,5.28
1971,9.46
1972,8.91
1973,6.31
1974,12.12
1975,6.98
1976,9.89
1977,8.81
1978,9.03
1979,7.66
1980,6.6
1981,12.86
1982,6.16
1983,6.52
1984,6.8
1985,6.07
1986,7.73
1987,6.77
1988,8.16
1989,9.33
1990,10.31
1991,9.39
1992,7.05
1993,8.87
1994,8.51
1995,9.47
1996,8.43
1997,9.37
1998,8.77
1999,10.34
2000,10.38
2001,9.25
2002,8.99
2003,8.87
2004,7.67
2005,10.33
2006,7.61
2007,12.0
2008,9.13
2009,8.13
2010,8.72
2011,12.05
2012,9.8
2013,7.2
2014,11.47
2015,8.89
2016,9.83
2017,11.07
2018,9.43
2019,10.14
2020,10.99
2021,7.12
2022,9.74
2023,8.55
