date,mean early autumn bottom oxygen concentration
1936,0.58
1937,1.17
1938,0.36
1939,0.48
1940,2.12
1942,0.2
1943,0.12
1944,0.0
1945,0.0
1946,0.06
1947,0.15
1948,0.57
1949,0.21
1950,0.11
1951,0.33
1952,0.01
1953,0.16
1954,0.04
1955,2.0
1956,0.24
1957,0.25
1958,0.26
1959,0.31
1960,0.19
1961,0.42
1962,0.42
1963,0.43
1964,0.36
1965,0.3
1966,0.29
1967,2.32
1968,1.63
1969,0.8
1970,2.98
1971,0.47
1972,0.45
1973,0.26
1974,2.74
1975,1.23
1976,0.68
1977,0.87
1978,1.26
1979,0.38
1980,1.33
1981,1.09
1982,0.69
1983,0.72
1984,1.38
1985,0.61
1986,0.64
1987,2.76
1988,0.27
1989,0.53
1990,0.79
1991,1.35
1992,1.16
1993,0.94
1994,2.4
1995,1.55
1996,1.89
1997,1.14
1998,1.31
1999,2.46
2000,1.28
2001,0.15
2002,0.2
2003,0.15
2004,0.01
2005,0.05
2006,0.01
2007,0.2
2008,0.2
2009,0.1
2010,0.14
2011,0.07
2012,0.0
2013,0.13
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.57
2022,0.56
2023,0.18
