date,mean autumn surface oxygen concentration
1936,9.9
1937,10.57
1938,10.39
1939,11.24
1940,10.56
1942,10.26
1943,9.23
1944,10.47
1945,10.29
1946,10.16
1947,10.23
1948,10.89
1949,10.52
1950,9.54
1951,9.78
1952,10.2
1953,9.84
1954,10.19
1955,9.83
1956,11.13
1957,10.49
1958,9.11
1959,9.56
1960,9.89
1961,9.46
1962,9.01
1963,9.79
1964,8.75
1965,9.6
1966,9.8
1967,11.31
1968,11.3
1969,9.9
1970,10.93
1971,9.43
1972,9.27
1973,8.39
1974,9.34
1975,10.28
1976,10.99
1977,9.58
1978,9.47
1979,8.88
1980,9.11
1981,10.05
1982,9.0
1983,10.38
1984,9.72
1985,10.32
1986,9.82
1987,9.65
1988,9.78
1989,9.01
1990,9.48
1991,9.22
1992,9.88
1993,9.04
1994,9.51
1995,9.91
1996,9.83
1997,10.71
1998,9.97
1999,10.07
2000,9.94
2001,11.18
2002,9.42
2003,9.88
2004,10.16
2005,9.17
2006,9.15
2007,9.99
2008,10.21
2009,10.44
2010,10.52
2011,10.38
2012,9.94
2013,10.1
2014,10.26
2015,10.6
2016,10.26
2017,10.45
2018,10.63
2019,9.2
2020,9.56
2021,9.91
2022,10.08
2023,9.88
