date,mean winter surface temperature
1937,4.91
1938,4.42
1939,4.42
1944,4.88
1945,3.36
1946,3.55
1947,3.49
1948,5.07
1949,4.77
1950,5.12
1951,4.33
1952,4.87
1953,3.89
1954,4.21
1955,5.03
1956,4.83
1957,3.25
1958,4.58
1959,4.61
1960,4.94
1961,5.04
1962,4.96
1963,4.5
1964,3.87
1965,4.18
1967,4.55
1968,4.2
1969,4.61
1970,3.93
1971,3.94
1973,4.92
1974,4.79
1975,5.2
1976,5.0
1977,4.78
1978,5.59
1979,4.79
1980,5.15
1981,4.57
1982,4.62
1983,5.56
1984,5.1
1985,4.09
1986,4.73
1987,4.56
1988,5.9
1989,5.55
1990,5.33
1991,5.31
1992,4.64
1993,5.47
1994,5.35
1995,5.43
1996,5.4
1997,4.75
1998,5.78
1999,4.98
2000,4.89
2001,6.06
2002,4.82
2003,6.05
2004,4.99
2005,5.32
2006,4.63
2007,6.2
2008,5.54
2009,5.19
2010,5.11
2011,5.03
2012,5.41
2013,5.73
2014,5.81
2015,6.26
2016,6.68
2017,5.69
2018,5.75
2019,5.79
2020,6.5
2021,6.12
2022,6.37
2023,6.67
