date,minimum Secchi depth
1937,2.3
1938,2.2
1939,2.2
1946,1.8
1951,2.1
1953,1.6
1954,2.6
1955,1.3
1956,2.0
1957,1.4
1958,1.6
1959,1.8
1960,1.6
1961,1.8
1962,2.0
1963,1.7
1964,2.1
1965,2.6
1966,1.7
1967,2.3
1968,1.1
1969,2.2
1970,2.6
1971,1.2
1973,2.5
1974,2.4
1975,3.4
1976,2.3
1977,2.6
1978,2.6
1979,2.3
1980,2.6
1981,2.6
1982,2.8
1983,2.6
1984,2.2
1985,2.3
1986,2.1
1987,2.4
1988,2.6
1989,3.0
1990,2.5
1991,2.8
1992,2.9
1993,2.7
1994,2.6
1995,3.9
1996,2.6
1997,2.2
1998,2.9
1999,2.4
2000,2.7
2001,2.3
2002,2.7
2003,2.4
2004,2.6
2005,3.0
2006,2.8
2007,2.8
2008,2.8
2009,2.7
2010,3.2
2011,2.3
2012,2.9
2013,2.8
2014,2.6
2015,2.9
2016,2.1
2017,2.7
2018,1.7
2019,3.4
2020,3.0
2021,2.8
2022,2.7
2023,4.1
