date,mean spring Schmidt stability
1937,263.26
1938,228.06
1939,267.92
1940,388.42
1941,580.7
1943,6294.67
1944,480.51
1945,1257.36
1946,1053.89
1947,148.79
1948,1158.86
1949,995.59
1950,291.59
1951,287.16
1952,784.75
1953,324.98
1954,353.6
1955,319.54
1956,155.55
1957,678.03
1958,160.76
1959,1195.13
1960,603.37
1961,1155.53
1962,641.18
1963,356.64
1964,245.48
1965,135.25
1966,928.81
1967,613.68
1968,1158.35
1969,314.52
1970,188.11
1971,648.14
1972,505.61
1973,141.88
1974,1134.96
1975,412.11
1976,746.36
1977,550.84
1978,691.3
1979,385.02
1980,284.82
1981,1134.51
1982,221.56
1983,273.16
1984,479.27
1985,175.18
1986,458.01
1987,298.75
1988,798.35
1989,771.95
1990,1041.41
1991,653.34
1992,384.42
1993,765.79
1994,597.52
1995,975.16
1996,778.77
1997,913.78
1998,653.5
1999,710.53
2000,889.02
2001,650.07
2002,807.11
2003,811.56
2004,618.05
2005,1050.23
2006,517.0
2007,1586.89
2008,761.28
2009,896.96
2010,847.9
2011,1571.37
2012,965.57
2013,545.28
2014,1247.78
2015,748.78
2016,859.88
2017,1157.81
2018,931.23
2019,1019.51
2020,1317.67
2021,527.58
2022,1107.01
2023,782.97
