date,mean summer Schmidt stability
1936,5183.99
1937,7089.02
1938,5854.95
1939,4904.75
1940,4280.67
1941,6510.07
1942,5751.26
1943,5827.17
1944,5509.54
1945,6301.37
1946,6520.39
1947,6625.69
1948,4379.45
1949,7253.42
1950,8333.6
1951,6587.7
1952,7993.56
1953,5194.71
1954,4313.69
1955,5318.78
1956,4856.21
1957,6849.68
1958,5540.26
1959,6050.39
1960,5331.66
1961,6910.17
1962,5579.99
1963,5728.4
1964,6171.16
1965,5777.33
1966,6140.19
1967,6782.55
1968,6271.16
1969,6542.6
1970,3220.84
1971,5917.75
1972,5581.36
1973,5667.29
1974,6332.86
1975,5569.63
1976,8055.57
1977,6821.77
1978,5733.69
1979,5894.29
1980,4593.44
1981,6612.25
1982,6856.62
1983,7490.51
1984,5996.62
1985,5799.59
1986,6509.7
1987,5671.33
1988,6074.24
1989,6290.27
1990,6414.56
1991,6068.15
1992,7304.31
1993,7526.89
1994,8472.9
1995,6318.73
1996,6786.86
1997,5893.03
1998,6435.36
1999,6379.73
2000,7144.06
2001,7642.61
2002,8436.73
2003,8929.03
2004,6945.33
2005,7486.65
2006,8275.29
2007,6772.1
2008,7546.57
2009,7705.71
2010,7656.39
2011,7500.62
2012,7836.96
2013,7489.19
2014,7192.32
2015,9630.68
2016,6850.25
2017,8443.57
2018,10355.46
2019,9775.02
2020,8304.12
2021,7272.2
2022,9442.25
2023,8263.67
