date,mean winter hypolimnetic density
1973,1000.1099
1974,1000.1316
1975,1000.1488
1976,1000.1413
1977,1000.1519
1978,1000.1401
1979,1000.1519
1980,1000.1498
1981,1000.149
1982,1000.1552
1983,1000.1445
1984,1000.1487
1985,1000.1536
1986,1000.1524
1987,1000.1372
1988,1000.1345
1989,1000.1379
1990,1000.1483
1991,1000.1452
1992,1000.1519
1993,1000.1431
1994,1000.1395
1995,1000.1428
1996,1000.1486
1997,1000.1553
1998,1000.1413
1999,1000.1585
2000,1000.1481
2004,1000.1538
2005,1000.1476
2006,1000.1534
2007,1000.1375
2008,1000.1454
2009,1000.1442
2010,1000.1458
2011,1000.1499
2012,1000.1452
2013,1000.1445
2014,1000.144
2015,1000.1408
2016,1000.1307
2017,1000.1411
2018,1000.1394
2019,1000.143
2020,1000.1307
2021,1000.1279
2022,1000.1302
2023,1000.1243
