date,mean summer epilimnion 0-10 m oxygen concentration
1936,12.25
1937,11.33
1938,11.53
1939,12.17
1940,11.72
1941,13.12
1942,10.72
1943,12.86
1944,11.73
1945,11.53
1946,11.96
1947,12.06
1948,11.44
1949,12.52
1950,12.13
1951,11.63
1952,11.88
1953,11.33
1954,12.05
1955,11.57
1956,11.21
1957,12.22
1958,10.97
1959,11.12
1960,9.97
1961,10.76
1962,11.4
1963,10.89
1964,9.3
1965,10.42
1966,10.24
1967,10.57
1968,10.27
1969,10.23
1970,9.86
1971,10.02
1972,10.4
1973,9.83
1974,10.76
1975,11.19
1976,11.34
1977,10.8
1978,10.97
1979,10.95
1980,11.08
1981,10.62
1982,11.38
1983,11.01
1984,11.0
1985,10.02
1986,10.71
1987,10.22
1988,10.36
1989,10.57
1990,10.72
1991,10.56
1992,11.58
1993,10.96
1994,10.45
1995,10.07
1996,10.17
1997,10.92
1998,11.45
1999,10.76
2000,10.79
2001,12.17
2002,11.21
2003,10.81
2004,10.78
2005,9.61
2006,10.48
2007,9.88
2008,10.88
2009,11.12
2010,10.17
2011,10.58
2012,10.03
2013,10.04
2014,10.75
2015,10.72
2016,10.68
2017,10.72
2018,10.26
2019,10.19
2020,10.43
2021,10.02
2022,10.21
2023,10.25
