date,mean summer surface oxygen concentration
1936,11.94
1937,11.22
1938,10.67
1939,11.93
1940,11.51
1941,10.51
1942,11.4
1943,10.91
1944,10.74
1945,10.85
1946,10.71
1947,10.73
1948,11.43
1949,10.78
1950,11.42
1951,11.63
1952,10.06
1953,11.84
1954,12.49
1955,11.48
1956,11.56
1957,11.05
1958,12.1
1959,11.49
1960,11.14
1961,10.98
1962,11.68
1963,12.07
1964,11.0
1965,11.74
1966,11.59
1967,11.36
1968,11.42
1969,11.24
1970,11.25
1971,10.27
1972,12.11
1973,11.4
1974,11.39
1975,11.78
1976,12.39
1977,12.46
1978,12.27
1979,11.71
1980,11.16
1981,10.92
1982,11.97
1983,11.49
1984,11.8
1985,10.28
1986,11.05
1987,10.16
1988,10.24
1989,10.66
1990,10.66
1991,11.7
1992,10.83
1993,11.22
1994,10.76
1995,10.21
1996,10.37
1997,11.15
1998,10.77
1999,10.75
2000,10.17
2001,11.22
2002,10.95
2003,10.24
2004,10.76
2005,9.45
2006,9.62
2007,9.72
2008,9.95
2009,10.34
2010,9.83
2011,10.39
2012,10.28
2013,9.94
2014,10.29
2015,9.66
2016,10.41
2017,9.94
2018,9.53
2019,9.65
2020,9.94
2021,10.01
2022,9.48
2023,9.8
