date,mean summer bottom temperature
1936,4.48
1937,4.55
1938,4.43
1939,4.4
1940,4.14
1941,4.2
1942,4.32
1943,4.4
1944,4.42
1945,4.3
1946,4.16
1947,4.17
1948,4.31
1949,4.31
1950,4.43
1951,4.33
1952,4.44
1953,4.08
1954,4.2
1955,4.04
1956,4.07
1957,4.21
1958,4.23
1959,4.26
1960,4.33
1961,4.4
1962,4.49
1963,4.38
1964,4.3
1965,4.3
1966,4.45
1967,4.48
1968,4.24
1969,4.2
1970,4.06
1971,4.21
1972,4.1
1973,4.17
1974,4.25
1975,4.4
1976,4.24
1977,4.5
1978,4.46
1979,4.26
1980,4.33
1981,4.1
1982,3.97
1983,4.2
1984,4.05
1985,4.0
1986,4.1
1987,4.13
1988,4.3
1989,4.5
1990,4.78
1991,4.3
1992,4.49
1993,4.4
1994,4.64
1995,4.9
1996,4.54
1997,4.5
1998,4.68
1999,4.22
2000,4.48
2001,4.3
2002,4.7
2003,4.2
2004,4.4
2005,4.34
2006,4.2
2007,4.43
2008,4.71
2009,4.52
2010,4.4
2011,4.4
2012,4.22
2013,4.3
2014,4.4
2015,4.64
2016,4.87
2017,4.91
2018,4.66
2019,4.7
2020,5.1
2021,4.91
2022,5.13
2023,5.26
