date,mean summer thermocline depth
1936,6.69
1937,12.82
1938,9.39
1939,7.56
1940,7.72
1941,7.26
1942,7.42
1943,9.01
1944,9.22
1945,10.06
1946,10.5
1947,8.95
1948,13.17
1949,9.16
1950,8.69
1951,8.92
1952,8.33
1953,7.28
1954,8.47
1955,10.82
1956,8.71
1957,8.25
1958,9.52
1959,8.73
1960,9.22
1961,7.22
1962,10.3
1963,7.9
1964,8.72
1965,9.11
1966,9.98
1967,8.8
1968,10.18
1969,8.18
1970,5.4
1971,8.36
1972,8.58
1973,10.05
1974,10.72
1975,10.45
1976,8.01
1977,8.85
1978,7.68
1979,9.11
1980,10.71
1981,10.0
1982,8.77
1983,9.2
1984,11.71
1985,9.57
1986,8.06
1987,7.47
1988,8.71
1989,8.12
1990,10.73
1991,8.44
1992,8.9
1993,10.91
1994,6.0
1995,5.9
1996,11.51
1997,9.15
1998,9.0
1999,8.03
2000,9.73
2001,8.93
2002,10.67
2003,9.06
2004,9.0
2005,8.93
2006,8.42
2007,10.02
2008,9.16
2009,10.22
2010,8.63
2011,10.71
2012,9.64
2013,9.8
2014,9.23
2015,9.19
2016,8.1
2017,10.23
2018,10.52
2019,8.55
2020,10.49
2021,9.34
2022,9.41
2023,10.14
