date,mean spring bottom temperature
1937,4.45
1938,4.4
1939,4.4
1940,4.0
1941,4.12
1943,4.63
1944,4.31
1945,4.24
1946,4.0
1947,4.09
1948,4.23
1949,4.27
1950,4.3
1951,4.22
1952,4.31
1953,3.95
1954,4.16
1955,3.99
1956,3.89
1957,4.04
1958,4.17
1959,4.24
1960,4.28
1961,4.3
1962,4.3
1963,4.4
1964,4.23
1965,4.2
1966,4.3
1967,4.38
1968,4.23
1969,4.19
1970,3.83
1971,4.14
1972,4.04
1973,3.97
1974,4.22
1975,4.4
1976,4.23
1977,4.6
1978,4.2
1979,4.23
1980,4.22
1981,4.07
1982,3.9
1983,4.12
1984,4.3
1985,3.93
1986,4.01
1987,4.01
1988,4.26
1989,4.5
1990,4.8
1991,4.29
1992,4.2
1993,4.7
1994,4.57
1995,5.0
1996,4.21
1997,4.47
1998,4.61
1999,4.0
2000,4.4
2001,4.42
2002,4.54
2003,4.2
2004,4.39
2005,4.33
2006,4.16
2007,4.31
2008,4.81
2009,4.41
2010,4.4
2011,4.4
2012,4.28
2013,4.3
2014,4.4
2015,4.61
2016,4.79
2017,4.92
2018,4.65
2019,4.66
2020,4.93
2021,4.84
2022,5.08
2023,5.25
