date,mean annual hypolimnetic density
1973,1000.134
1974,1000.1467
1975,1000.1476
1976,1000.1451
1977,1000.1358
1978,1000.1471
1979,1000.1478
1980,1000.143
1981,1000.1514
1982,1000.1508
1983,1000.1475
1984,1000.1489
1985,1000.1511
1986,1000.1507
1987,1000.1421
1988,1000.1386
1989,1000.1356
1990,1000.1326
1991,1000.1494
1992,1000.1425
1993,1000.1457
1994,1000.137
1995,1000.1353
1996,1000.146
1997,1000.1448
1998,1000.1409
1999,1000.1562
2000,1000.1518
2004,1000.1495
2005,1000.1498
2006,1000.1508
2007,1000.1259
2008,1000.1377
2009,1000.1452
2010,1000.143
2011,1000.1501
2012,1000.1438
2013,1000.1492
2014,1000.141
2015,1000.1401
2016,1000.1331
2017,1000.1407
2018,1000.1458
2019,1000.1284
2020,1000.1206
2021,1000.1239
2022,1000.1304
2023,1000.1229
