date,mean autumn epilimnion 0-5 m oxygen concentration
1936,10.01
1937,10.72
1938,10.39
1939,11.11
1940,10.59
1942,10.31
1943,9.37
1944,10.56
1945,10.3
1946,10.28
1947,10.34
1948,10.72
1949,10.56
1950,9.54
1951,9.7
1952,10.19
1953,9.67
1954,10.11
1955,9.68
1956,11.11
1957,10.37
1958,9.22
1959,9.42
1960,9.5
1961,9.5
1962,8.92
1963,9.59
1964,8.77
1965,9.16
1966,9.08
1967,10.98
1968,11.3
1969,9.99
1970,10.31
1971,9.25
1972,9.27
1973,8.37
1974,9.22
1975,10.22
1976,10.88
1977,9.62
1978,9.46
1979,8.86
1980,9.09
1981,9.99
1982,9.02
1983,10.31
1984,9.6
1985,10.25
1986,9.9
1987,9.66
1988,9.76
1989,9.05
1990,9.45
1991,9.22
1992,9.9
1993,9.12
1994,9.52
1995,9.92
1996,9.84
1997,10.73
1998,10.01
1999,10.04
2000,9.92
2001,11.19
2002,9.43
2003,9.84
2004,10.09
2005,9.18
2006,9.11
2007,9.96
2008,10.28
2009,10.42
2010,10.51
2011,10.44
2012,9.9
2013,10.1
2014,10.23
2015,10.6
2016,10.23
2017,10.45
2018,10.63
2019,9.22
2020,9.56
2021,9.88
2022,10.07
2023,9.87
