date,mean spring epilimnion 5-10 m oxygen concentration
1937,11.37
1938,12.08
1939,12.01
1940,10.26
1941,10.79
1943,15.4
1944,11.48
1945,12.19
1946,12.55
1947,10.65
1948,12.3
1949,10.59
1950,11.83
1951,10.93
1952,11.88
1953,11.7
1954,11.79
1955,11.04
1956,10.76
1957,12.12
1958,10.96
1959,12.86
1960,10.61
1961,10.76
1962,11.14
1963,10.14
1964,8.85
1965,10.47
1966,11.53
1967,10.6
1968,12.37
1969,10.88
1970,10.61
1971,11.72
1972,11.11
1973,10.45
1974,10.97
1975,11.53
1976,12.18
1977,11.29
1978,11.24
1979,11.43
1980,11.26
1981,11.95
1982,12.07
1983,11.01
1984,11.91
1985,11.07
1986,10.72
1987,11.17
1988,11.9
1989,11.23
1990,11.61
1991,11.66
1992,11.1
1993,11.65
1994,11.91
1995,11.8
1996,11.43
1997,11.91
1998,11.65
1999,11.29
2000,12.32
2001,12.19
2002,11.78
2003,12.87
2004,11.57
2005,12.83
2006,11.39
2007,13.19
2008,11.22
2009,11.34
2010,11.95
2011,13.34
2012,12.77
2013,11.78
2014,12.68
2015,11.58
2016,12.11
2017,12.94
2018,12.02
2019,12.14
2020,12.7
2021,10.96
2022,12.27
2023,11.26
