date,mean early autumn Schmidt stability
1936,4802.0
1937,4919.31
1938,5523.88
1939,5119.44
1940,4959.9
1942,5099.36
1943,5206.25
1944,6452.21
1945,6408.35
1946,5711.41
1947,7096.44
1948,5789.01
1949,7591.17
1950,5832.44
1951,6133.08
1952,5250.79
1953,5657.76
1954,5142.74
1955,5467.02
1956,4964.28
1957,4807.23
1958,7033.49
1959,6295.77
1960,4579.45
1961,7428.47
1962,5871.75
1963,4880.19
1964,5598.1
1965,4656.43
1966,5646.19
1967,5490.71
1968,6027.33
1969,5670.7
1970,5706.77
1971,6115.2
1972,4629.59
1973,6036.02
1974,5691.42
1975,5947.91
1976,5809.21
1977,6682.28
1978,5176.44
1979,6542.84
1980,5607.53
1981,5887.42
1982,6551.01
1983,6590.9
1984,6441.91
1985,6175.89
1986,5174.16
1987,5748.16
1988,5746.12
1989,5412.21
1990,6444.73
1991,7344.4
1992,6657.7
1993,5559.99
1994,7088.72
1995,5210.69
1996,5423.21
1997,6845.11
1998,6475.96
1999,6358.9
2000,6147.47
2001,6151.93
2002,6788.91
2003,7188.58
2004,7200.15
2005,6689.18
2006,6122.71
2007,6906.93
2008,6907.24
2009,7727.97
2010,5755.66
2011,7922.33
2012,7234.62
2013,7281.83
2014,6800.27
2015,8336.11
2016,8150.39
2017,7230.88
2018,8105.59
2019,7922.44
2020,7123.85
2021,6815.0
2022,8853.26
2023,8214.73
