date,mean early autumn thermocline depth
1936,11.5
1937,13.94
1938,13.7
1939,12.81
1940,13.57
1942,12.78
1943,8.23
1944,11.46
1945,10.44
1946,10.87
1947,9.72
1948,11.6
1949,10.27
1950,10.15
1951,10.26
1952,10.19
1953,8.98
1954,10.3
1955,13.67
1956,11.4
1957,11.66
1958,10.22
1959,10.23
1960,11.03
1961,10.41
1962,9.87
1963,10.87
1964,9.72
1965,10.32
1966,12.08
1967,12.19
1968,12.37
1969,10.81
1970,11.76
1971,14.03
1972,11.69
1973,10.39
1974,11.41
1975,12.59
1976,12.7
1977,14.26
1978,13.13
1979,11.28
1980,9.93
1981,10.6
1982,12.74
1983,10.91
1984,12.64
1985,11.12
1986,10.93
1987,9.73
1988,11.1
1989,11.69
1990,11.16
1991,10.4
1992,11.82
1993,12.06
1994,11.42
1995,12.27
1996,12.56
1997,10.05
1998,12.05
1999,10.28
2000,11.91
2001,11.12
2002,13.04
2003,11.38
2004,11.44
2005,11.48
2006,10.86
2007,13.78
2008,12.86
2009,12.2
2010,12.83
2011,11.52
2012,11.76
2013,12.14
2014,13.2
2015,12.4
2016,11.17
2017,11.81
2018,12.55
2019,11.98
2020,11.74
2021,12.02
2022,12.89
2023,11.92
