date,mean winter Schmidt stability
1937,48.38
1938,-1.0
1939,5.07
1944,43.64
1945,16.92
1946,7.45
1947,35.29
1948,54.3
1949,19.83
1950,62.88
1951,-1.07
1952,28.9
1953,1.09
1954,34.79
1955,53.09
1956,74.78
1957,8.59
1958,11.47
1959,13.83
1960,69.43
1961,49.14
1962,55.72
1963,22.39
1964,-2.49
1965,2.57
1967,-1.46
1968,-6.23
1969,33.02
1970,-8.61
1971,-3.86
1973,54.44
1974,29.01
1975,65.9
1976,25.8
1977,24.88
1978,76.05
1979,5.55
1980,70.64
1981,10.86
1982,34.14
1983,161.44
1984,57.77
1985,34.41
1986,62.84
1987,53.59
1988,220.89
1989,108.06
1990,73.4
1991,47.01
1992,21.51
1993,86.22
1994,44.68
1995,104.55
1996,49.08
1997,20.64
1998,170.67
1999,37.66
2000,33.49
2001,238.18
2002,22.46
2003,206.26
2004,50.99
2005,105.73
2006,43.86
2007,299.15
2008,91.44
2009,38.04
2010,66.89
2011,69.66
2012,141.83
2013,193.24
2014,191.64
2015,290.5
2016,386.9
2017,148.04
2018,128.3
2019,184.56
2020,323.98
2021,178.06
2022,274.21
2023,337.86
