date,mean late summer Secchi depth
1937,2.9
1938,4.23
1939,2.34
1940,2.59
1946,2.85
1948,3.67
1950,3.1
1951,2.47
1952,3.6
1953,2.92
1954,2.86
1955,2.26
1956,2.23
1957,2.88
1958,1.91
1959,2.4
1960,2.56
1961,2.6
1962,2.64
1963,2.97
1964,2.47
1965,3.0
1966,4.53
1967,4.1
1968,2.49
1969,5.92
1970,2.78
1971,2.81
1973,2.75
1974,4.16
1975,4.63
1976,3.14
1977,2.77
1978,3.75
1979,2.36
1980,5.07
1981,4.92
1982,3.2
1983,3.01
1984,2.45
1985,2.61
1986,2.66
1987,3.8
1988,4.0
1989,3.24
1990,2.97
1991,2.88
1992,4.43
1993,3.47
1994,3.0
1995,4.26
1996,2.69
1997,3.41
1998,6.07
1999,3.47
2000,3.42
2001,3.4
2002,3.2
2003,5.25
2004,3.67
2005,3.47
2006,3.16
2007,2.89
2008,3.33
2009,4.24
2010,3.84
2011,3.19
2012,3.74
2013,4.72
2014,3.47
2015,4.1
2016,2.92
2017,3.43
2018,5.23
2019,4.2
2020,3.97
2021,3.72
2022,6.14
2023,4.6
