date (yyyy-mm-dd HH:MM:SS),surface oxygen concentration [mg/L]
19.10.1999 12:00,9.9
16.11.1999 12:00,9.0
14.12.1999 12:00,8.2
26.01.2000 12:00,6.5
22.02.2000 12:00,7.7
21.03.2000 12:00,8.6
19.04.2000 12:00,12.7
23.05.2000 12:00,11.4
20.06.2000 12:00,12.2
25.07.2000 12:00,10.7
22.08.2000 12:00,12.0
26.09.2000 12:00,11.1
24.10.2000 12:00,9.6
21.11.2000 12:00,9.0
19.12.2000 12:00,9.1
23.01.2001 12:00,9.2
20.02.2001 12:00,10.6
20.03.2001 12:00,13.7
17.04.2001 12:00,11.6
15.05.2001 12:00,12.6
20.06.2001 12:00,10.5
24.07.2001 12:00,11.5
06.09.2001 12:00,10.1
26.09.2001 12:00,8.9
23.10.2001 12:00,8.7
20.11.2001 12:00,8.2
18.12.2001 12:00,7.7
22.01.2002 12:00,4.1
19.02.2002 12:00,4.7
20.03.2002 12:00,19.3
16.04.2002 12:00,12.9
21.05.2002 12:00,12.9
25.06.2002 12:00,12.2
23.07.2002 12:00,10.9
20.08.2002 12:00,11.3
24.09.2002 12:00,11.1
22.10.2002 12:00,8.7
19.11.2002 12:00,8.1
17.12.2002 12:00,8.3
28.01.2003 12:00,7.3
17.02.2003 12:00,5.1
25.03.2003 12:00,13.6
22.04.2003 12:00,12.7
20.05.2003 12:00,10.6
17.06.2003 12:00,10.9
28.07.2003 12:00,14.2
26.08.2003 12:00,11.8
24.09.2003 12:00,10.9
20.10.2003 12:00,8.8
18.11.2003 12:00,8.2
16.12.2003 12:00,8.3
27.01.2004 12:00,5.1
24.02.2004 12:00,6.4
23.03.2004 12:00,11.8
20.04.2004 12:00,13.6
18.05.2004 12:00,12.6
15.06.2004 12:00,11.7
27.07.2004 12:00,12.8
24.08.2004 12:00,11.9
21.09.2004 12:00,11.3
19.10.2004 12:00,8.2
16.11.2004 12:00,8.0
14.12.2004 12:00,7.9
31.01.2005 12:00,5.8
28.02.2005 12:00,8.1
29.03.2005 12:00,13.9
26.04.2005 12:00,13.8
24.05.2005 12:00,11.2
20.06.2005 12:00,11.2
26.07.2005 12:00,12.1
23.08.2005 12:00,9.8
19.09.2005 12:00,8.3
17.10.2005 12:00,7.9
21.11.2005 12:00,8.0
12.12.2005 12:00,9.0
24.01.2006 12:00,6.3
20.02.2006 12:00,7.2
20.03.2006 12:00,10.0
24.04.2006 12:00,15.9
22.05.2006 12:00,10.8
19.06.2006 12:00,10.2
24.07.2006 12:00,11.9
21.08.2006 12:00,9.9
18.09.2006 12:00,10.9
23.10.2006 12:00,7.9
20.11.2006 12:00,8.2
18.12.2006 12:00,8.6
22.01.2007 12:00,9.4
26.02.2007 12:00,10.7
26.03.2007 12:00,10.7
23.04.2007 12:00,11.7
21.05.2007 12:00,10.9
18.06.2007 12:00,11.4
23.07.2007 12:00,12.5
20.08.2007 12:00,10.6
17.09.2007 12:00,9.9
15.10.2007 12:00,9.1
19.11.2007 12:00,8.2
18.12.2007 12:00,7.8
21.01.2008 12:00,7.0
18.02.2008 12:00,7.4
17.03.2008 12:00,10.6
14.04.2008 12:00,11.5
19.05.2008 12:00,12.2
16.06.2008 12:00,9.8
21.07.2008 12:00,11.5
18.08.2008 12:00,9.9
15.09.2008 12:00,9.3
20.10.2008 12:00,9.1
17.11.2008 12:00,8.9
15.12.2008 12:00,8.1
26.01.2009 12:00,5.6
23.02.2009 12:00,5.8
23.03.2009 12:00,11.2
20.04.2009 12:00,13.5
18.05.2009 12:00,11.6
15.06.2009 12:00,9.9
27.07.2009 12:00,10.9
17.08.2009 12:00,10.9
21.09.2009 12:00,9.8
19.10.2009 12:00,7.9
17.11.2009 12:00,8.2
14.12.2009 12:00,8.8
25.01.2010 12:00,5.7
22.02.2010 12:00,6.6
22.03.2010 12:00,10.8
19.04.2010 12:00,13.7
17.05.2010 12:00,10.4
21.06.2010 12:00,10.8
26.07.2010 12:00,9.7
23.08.2010 12:00,9.8
20.09.2010 12:00,10.4
18.10.2010 12:00,8.8
22.11.2010 12:00,8.2
20.12.2010 12:00,8.0
31.01.2011 12:00,5.8
28.02.2011 12:00,9.7
28.03.2011 12:00,14.3
26.04.2011 12:00,11.5
23.05.2011 12:00,10.2
20.06.2011 12:00,11.1
25.07.2011 12:00,10.3
22.08.2011 12:00,11.3
19.09.2011 12:00,8.5
17.10.2011 12:00,8.7
21.11.2011 12:00,9.7
19.12.2011 12:00,9.0
23.01.2012 12:00,7.3
27.02.2012 12:00,7.9
26.03.2012 12:00,8.2
23.04.2012 12:00,11.1
21.05.2012 12:00,11.6
18.06.2012 12:00,11.0
23.07.2012 12:00,11.0
20.08.2012 12:00,10.0
17.09.2012 12:00,10.1
22.10.2012 12:00,8.2
18.11.2012 12:00,9.2
17.12.2012 12:00,8.5
21.01.2013 12:00,7.9
18.02.2013 12:00,6.6
25.03.2013 12:00,10.4
22.04.2013 12:00,13.2
21.05.2013 12:00,10.8
17.06.2013 12:00,11.5
22.07.2013 12:00,13.6
19.08.2013 12:00,11.5
16.09.2013 12:00,8.7
21.10.2013 12:00,8.3
15.11.2013 12:00,7.7
16.12.2013 12:00,8.3
27.01.2014 12:00,8.4
25.02.2014 12:00,10.3
25.03.2014 12:00,12.1
22.04.2014 12:00,11.7
