date,mean late autumn hypolimnetic oxygen concentration
1938,3.15
1959,0.34
1974,0.28
1976,0.17
1981,1.08
1982,0.48
1983,6.16
1984,5.51
1985,4.83
1986,4.33
1987,5.04
1988,3.15
1989,3.18
1990,1.92
1991,1.6
1992,2.03
1993,6.66
1994,5.04
1995,3.14
1996,4.07
1997,4.11
1998,4.32
1999,3.55
2000,4.13
2001,2.64
2002,3.38
2003,4.08
2004,2.57
2005,2.87
2006,2.1
2007,4.06
2008,2.84
2009,3.82
2010,4.34
2011,3.41
2012,3.89
2013,3.18
2014,3.29
2015,1.69
2016,2.74
2017,2.86
2018,5.14
2019,5.45
2020,3.88
2021,4.93
2022,3.18
2023,3.57
