date,mean spring Secchi depth
1982,3.01
1983,3.39
1987,2.7
1988,2.66
1989,4.19
1990,1.76
1991,2.7
1992,3.17
1993,4.53
1994,2.44
1995,3.46
1996,2.57
1997,2.48
1998,1.96
1999,1.47
2000,3.26
2001,3.57
2002,2.06
2003,2.45
2004,2.79
2005,2.43
2006,2.42
2007,2.49
2008,2.53
2009,3.13
2010,3.37
2011,2.83
2012,2.89
2013,2.07
2014,2.93
2015,2.9
2016,2.08
2017,1.94
2018,2.83
2019,3.0
2020,3.57
2021,2.15
2022,2.21
2023,1.94
