date,mean winter hypolimnetic density
1982,1000.2615
1983,1000.2544
1984,1000.25
1985,1000.2423
1986,1000.2353
1987,1000.2225
1988,1000.2127
1989,1000.2202
1990,1000.2282
1992,1000.2301
1993,1000.2262
1994,1000.2322
1995,1000.2217
1996,1000.2279
1997,1000.2379
1998,1000.2057
1999,1000.2161
2000,1000.2252
2001,1000.1934
2002,1000.2166
2003,1000.2118
2004,1000.2206
2005,1000.2097
2007,1000.206
2008,1000.2177
2009,1000.2183
2013,1000.2254
2014,1000.2218
