date,mean summer hypolimnetic oxygen concentration
1974,0.01
1976,0.5
1982,2.62
1983,7.91
1984,8.89
1985,8.5
1986,8.0
1987,8.88
1988,6.13
1989,6.23
1990,4.83
1991,4.29
1992,5.9
1993,9.09
1994,9.78
1995,7.79
1996,6.84
1997,8.28
1998,6.31
1999,8.33
2000,6.82
2001,6.94
2002,7.06
2003,6.99
2004,7.98
2005,6.73
2006,7.22
2007,5.12
2008,5.96
2009,7.81
2010,8.2
2011,6.31
2012,6.64
2013,6.71
2014,5.19
2015,5.41
2016,6.62
2017,6.1
2018,8.25
2019,7.18
2020,7.75
2021,8.42
2022,6.32
2023,6.18
