date,mean autumn bottom temperature
1938,4.58
1959,4.1
1974,4.32
1976,3.9
1982,4.67
1983,5.75
1984,5.23
1985,5.44
1986,5.21
1987,4.81
1988,5.31
1989,5.52
1990,5.53
1991,4.88
1992,5.24
1993,5.2
1994,5.83
1995,5.82
1996,4.98
1997,5.94
1998,5.47
1999,5.1
2000,5.8
2001,6.42
2002,6.51
2003,5.89
2004,6.21
2005,5.94
2006,5.68
2007,6.1
2008,5.91
2009,5.14
2010,5.33
2011,5.48
2012,5.88
2013,5.14
2014,5.89
2015,6.05
2016,6.64
2017,6.43
2018,5.91
2019,6.35
2020,6.77
2021,5.92
2022,6.14
2023,6.2
