date,mean late autumn Schmidt stability
1938,600.46
1959,223.47
1974,181.43
1976,480.77
1981,494.42
1982,481.8
1983,277.43
1984,259.96
1985,234.36
1986,258.26
1987,373.21
1988,314.05
1989,409.36
1990,302.48
1991,321.49
1992,201.14
1993,259.69
1994,475.83
1995,422.78
1996,411.82
1997,327.37
1998,508.66
1999,303.41
2000,527.49
2001,363.45
2002,352.87
2003,324.15
2004,282.85
2005,563.32
2006,571.46
2007,274.8
2008,418.32
2009,382.91
2010,369.38
2011,552.91
2012,544.48
2013,427.09
2014,750.53
2015,638.67
2016,514.05
2017,700.62
2018,1001.29
2019,1335.8
2020,1017.9
2021,918.7
2022,1373.38
2023,1067.06
