date,mean annual bottom density
1982,1000.2664
1983,1000.2448
1984,1000.2453
1985,1000.2431
1986,1000.2305
1987,1000.2274
1988,1000.2277
1989,1000.2244
1990,1000.2254
1992,1000.2302
1993,1000.2302
1994,1000.2245
1995,1000.2222
1997,1000.2252
1998,1000.209
1999,1000.2221
2000,1000.2179
2001,1000.2022
2002,1000.2019
2003,1000.2306
2004,1000.2125
2005,1000.211
2006,1000.2211
2007,1000.2034
2008,1000.2058
2009,1000.2225
2010,1000.216
2011,1000.2166
2012,1000.2086
2013,1000.2321
2014,1000.2094
