date,mean autumn Schmidt stability
1938,1350.99
1959,731.18
1974,827.58
1976,1276.38
1982,1096.69
1983,1156.02
1984,940.73
1985,1356.33
1986,898.45
1987,1086.9
1988,1069.88
1989,1161.08
1990,1062.99
1991,1356.89
1992,876.7
1993,1093.1
1994,1081.72
1995,1266.26
1996,777.69
1997,1353.09
1998,1089.32
1999,996.99
2000,1279.99
2001,1221.56
2002,1065.12
2003,1138.61
2004,1049.42
2005,1260.78
2006,1540.78
2007,1109.87
2008,1130.88
2009,1105.91
2010,995.13
2011,1342.34
2012,1464.28
2013,1246.25
2014,1796.78
2015,1195.73
2016,1109.04
2017,1445.11
2018,1877.17
2019,1828.48
2020,1549.84
2021,1457.58
2022,1808.91
2023,2223.04
