date,mean early autumn Schmidt stability
1938,1887.03
1959,1454.99
1974,2112.81
1976,1650.92
1982,1901.98
1983,1949.33
1984,1759.88
1985,1861.99
1986,1518.17
1987,2159.96
1988,1849.35
1989,2233.19
1990,1664.51
1991,2565.52
1992,1943.4
1993,1982.43
1994,1824.12
1995,1805.39
1996,1307.38
1997,2450.34
1998,1913.07
1999,2024.17
2000,2235.59
2001,1827.56
2002,2057.59
2003,2749.05
2004,2057.83
2005,1939.23
2006,2097.84
2007,2088.91
2008,1714.83
2009,2311.96
2010,1896.3
2011,2210.03
2012,2291.06
2013,2029.16
2014,2316.89
2015,2252.1
2016,2362.15
2017,2006.3
2018,2946.82
2019,2625.33
2020,2645.66
2021,2273.22
2022,3029.48
2023,3291.31
