date,mean annual bottom temperature
1982,4.29
1983,5.12
1984,4.8
1985,4.76
1986,4.75
1987,4.44
1988,5.12
1989,5.22
1990,5.33
1991,4.6
1992,4.9
1993,4.93
1994,5.43
1995,5.63
1996,4.72
1997,5.36
1998,5.35
1999,4.94
2000,5.39
2001,6.03
2002,5.99
2003,5.5
2004,5.56
2005,5.38
2006,5.12
2007,5.87
2008,5.43
2009,4.76
2010,4.88
2011,5.05
2012,5.32
2013,4.85
2014,5.4
