date,mean spring epilimnion 0-10 m oxygen concentration
1938,11.01
1958,10.13
1959,11.51
1974,10.16
1977,8.37
1982,8.92
1983,10.48
1984,12.51
1985,12.13
1986,10.48
1987,12.04
1988,12.45
1989,12.08
1990,13.07
1991,12.12
1992,11.21
1993,13.23
1994,14.29
1995,12.37
1996,10.68
1997,12.81
1998,12.61
1999,13.87
2000,13.94
2001,11.13
2002,12.4
2003,12.98
2004,12.63
2005,12.43
2006,12.64
2007,10.96
2008,12.02
2009,12.25
2010,14.42
2011,12.72
2012,12.09
2013,11.06
2014,9.83
2015,11.76
2016,10.82
2017,11.28
2018,12.07
2019,12.29
2020,12.56
2021,12.66
2022,12.82
2023,11.84
