date,mean winter bottom temperature
1975,4.72
1982,3.85
1983,4.48
1984,4.39
1985,3.8
1986,4.17
1987,3.99
1988,5.15
1989,4.91
1990,4.95
1991,4.78
1992,3.96
1993,4.56
1994,4.85
1995,5.29
1996,4.78
1997,4.02
1998,5.39
1999,4.59
2000,4.68
2001,5.65
2002,4.58
2003,5.45
2004,5.02
2005,5.14
2006,4.4
2007,5.55
2008,4.61
2009,4.09
2013,4.69
2014,4.85
