date,mean summer epilimnion 0-10 m oxygen concentration
1938,7.95
1958,8.53
1959,7.02
1966,7.5
1974,7.42
1976,8.51
1982,7.02
1983,10.83
1984,11.02
1985,12.83
1986,12.08
1987,9.13
1988,10.52
1989,14.06
1990,9.51
1991,13.71
1992,12.64
1993,10.43
1994,12.42
1995,10.41
1996,11.33
1997,12.03
1998,13.64
1999,9.81
2000,11.84
2001,12.03
2002,10.72
2003,14.98
2004,13.8
2005,14.58
2006,13.61
2007,12.04
2008,14.73
2009,12.15
2010,12.84
2011,11.33
2012,11.83
2013,12.81
2014,13.64
2015,11.24
2016,10.51
2017,11.67
2018,17.52
2019,13.26
2020,15.78
2021,13.62
2022,14.59
2023,14.68
