date,mean autumn epilimnion 0-5 m oxygen concentration
1938,10.08
1952,10.14
1958,8.75
1959,8.9
1974,10.33
1976,12.33
1982,9.69
1983,8.69
1984,10.32
1985,11.63
1986,13.27
1987,11.4
1988,10.28
1989,10.81
1990,13.19
1991,10.76
1992,8.79
1993,9.65
1994,12.34
1995,13.3
1996,11.5
1997,11.5
1998,11.86
1999,7.43
2000,9.82
2001,12.0
2002,10.52
2003,10.5
2004,10.78
2005,11.02
2006,10.09
2007,9.83
2008,12.68
2009,9.43
2010,9.99
2011,10.0
2012,10.87
2013,10.14
2014,10.34
2015,10.7
2016,9.27
2017,11.01
2018,11.63
2019,11.4
2020,11.22
2021,9.29
2022,11.78
2023,12.42
