date,mean late autumn bottom oxygen concentration
1938,0.16
1959,0.0
1974,0.0
1976,0.0
1981,0.0
1982,0.19
1983,2.63
1984,4.0
1985,1.33
1986,2.99
1987,4.31
1988,2.43
1989,2.28
1990,0.49
1991,0.7
1992,0.85
1993,6.13
1994,4.27
1995,1.68
1996,1.4
1997,2.63
1998,3.53
1999,1.96
2000,3.68
2001,2.19
2002,1.87
2003,2.91
2004,1.54
2005,1.98
2006,1.42
2007,1.17
2008,2.26
2009,2.84
2010,3.45
2011,2.31
2012,3.52
2013,2.26
2014,2.05
2015,0.46
2016,3.41
2017,3.28
2018,3.97
2019,5.06
2020,2.5
2021,3.87
2022,1.93
2023,1.91
