date,mean autumn bottom oxygen concentration
1938,0.92
1959,0.0
1974,0.0
1976,0.0
1982,0.12
1983,1.26
1984,4.49
1985,2.94
1986,3.78
1987,4.99
1988,2.01
1989,2.84
1990,0.37
1991,0.37
1992,0.61
1993,6.54
1994,5.49
1995,3.63
1996,3.25
1997,4.08
1998,1.51
1999,2.9
2000,4.11
2001,2.98
2002,2.9
2003,3.85
2004,1.99
2005,2.41
2006,3.22
2007,2.55
2008,3.09
2009,4.07
2010,4.67
2011,3.83
2012,3.81
2013,2.11
2014,3.16
2015,0.36
2016,3.82
2017,3.65
2018,4.12
2019,4.46
2020,3.08
2021,3.49
2022,1.79
2023,2.2
