date,mean winter epilimnion 5-10 m oxygen concentration
1958,5.97
1959,7.48
1975,3.96
1982,4.96
1983,4.96
1984,8.5
1985,8.06
1986,7.0
1987,7.94
1988,7.52
1989,6.37
1990,6.92
1991,6.76
1992,6.72
1993,6.44
1994,10.03
1995,7.77
1996,6.82
1997,7.61
1998,7.48
1999,6.8
2000,7.98
2001,6.93
2002,7.82
2003,7.06
2004,8.71
2005,7.66
2006,7.84
2007,6.05
2008,7.63
2009,8.76
2014,7.0
