date,mean autumn Secchi depth
1982,5.26
1983,5.76
1987,2.19
1988,4.89
1989,2.89
1990,1.91
1991,2.34
1992,3.88
1993,3.7
1994,1.97
1995,3.9
1996,4.24
1997,1.71
1998,1.56
1999,2.85
2000,2.89
2001,2.98
2002,1.61
2003,4.03
2004,2.5
2005,1.85
2006,2.06
2007,2.16
2008,2.07
2009,2.73
2010,2.05
2011,1.61
2012,1.48
2013,2.62
2014,2.42
2015,2.23
2016,2.34
2017,1.97
2018,3.15
2019,2.73
2020,3.42
2021,3.31
2022,3.32
2023,2.3
