date,mean spring Schmidt stability
1938,310.9
1974,346.0
1977,369.12
1982,119.63
1983,156.6
1984,120.54
1985,99.46
1986,75.57
1987,120.23
1988,265.3
1989,231.18
1990,254.07
1991,144.94
1992,108.46
1993,316.93
1994,250.86
1995,228.17
1996,332.12
1997,267.53
1998,276.35
1999,298.18
2000,283.48
2001,223.97
2002,196.48
2003,317.93
2004,299.33
2005,316.92
2006,128.96
2007,419.9
2008,222.07
2009,267.2
2010,265.87
2011,309.46
2012,110.57
2013,126.37
2014,274.98
2015,367.47
2016,220.06
2017,463.04
2018,436.99
2019,328.76
2020,524.87
2021,322.78
2022,333.78
2023,271.83
