date,mean annual bottom conductivity
1982,453.58
1983,442.28
1984,432.73
1985,429.76
1986,411.13
1987,398.13
1988,410.89
1989,409.05
1990,413.43
1992,412.32
1993,408.8
1994,417.66
1995,419.23
1997,419.73
1998,388.23
1999,398.68
2000,405.72
2001,407.66
2002,410.05
2003,428.51
2004,405.42
2005,397.2
2006,405.39
2007,400.71
2008,389.23
2009,395.76
2010,390.42
2011,394.34
2012,393.6
2013,410.45
2014,394.37
