date,mean autumn epilimnion 5-10 m oxygen concentration
1938,2.0
1952,7.65
1958,0.63
1959,0.15
1974,7.16
1976,2.27
1982,2.12
1983,4.41
1984,8.02
1985,3.98
1986,7.61
1987,6.46
1988,5.56
1989,7.5
1990,5.39
1991,7.44
1992,5.21
1993,7.31
1994,7.59
1995,7.07
1996,8.33
1997,6.59
1998,10.05
1999,3.45
2000,6.03
2001,8.33
2002,5.2
2003,10.27
2004,6.33
2005,7.38
2006,5.81
2007,5.88
2008,7.07
2009,5.75
2010,7.94
2011,5.39
2012,8.81
2013,6.12
2014,4.53
2015,6.98
2016,4.5
2017,7.06
2018,11.65
2019,11.57
2020,11.37
2021,6.7
2022,12.07
2023,13.46
