date,mean early autumn hypolimnetic oxygen concentration
1938,1.18
1959,0.23
1974,0.0
1976,0.12
1982,0.92
1983,6.9
1984,6.97
1985,6.39
1986,6.41
1987,6.94
1988,4.48
1989,4.75
1990,2.16
1991,2.27
1992,3.05
1993,7.51
1994,7.62
1995,4.69
1996,6.27
1997,5.83
1998,4.58
1999,4.82
2000,5.68
2001,4.37
2002,4.51
2003,5.54
2004,4.03
2005,4.61
2006,4.34
2007,3.66
2008,4.33
2009,5.49
2010,5.93
2011,5.57
2012,5.45
2013,4.9
2014,4.14
2015,2.83
2016,4.59
2017,4.26
2018,5.97
2019,5.98
2020,5.15
2021,4.84
2022,4.6
2023,3.55
