date,mean autumn hypolimnetic oxygen concentration
1938,1.13
1959,0.15
1974,0.0
1976,0.09
1982,0.37
1983,6.37
1984,6.23
1985,5.29
1986,5.36
1987,5.77
1988,3.17
1989,3.68
1990,0.8
1991,1.26
1992,1.67
1993,7.07
1994,5.88
1995,3.5
1996,4.82
1997,4.24
1998,3.44
1999,3.4
2000,4.66
2001,3.18
2002,3.71
2003,4.96
2004,2.68
2005,3.14
2006,2.87
2007,2.78
2008,3.37
2009,4.41
2010,4.9
2011,4.12
2012,4.24
2013,3.73
2014,3.6
2015,1.9
2016,3.9
2017,3.67
2018,5.67
2019,5.34
2020,4.99
2021,4.75
2022,3.79
2023,3.26
