date,mean summer surface oxygen concentration
1938,10.36
1958,13.0
1959,12.3
1966,13.82
1974,15.81
1976,12.28
1982,11.14
1983,17.26
1984,15.67
1985,17.02
1986,16.13
1987,11.39
1988,13.99
1989,15.96
1990,14.64
1991,14.51
1992,16.86
1993,11.55
1994,14.04
1995,14.37
1996,14.59
1997,13.81
1998,13.7
1999,14.79
2000,13.93
2001,15.5
2002,15.38
2003,11.81
2004,14.47
2005,11.6
2006,12.3
2007,13.01
2008,13.21
2009,11.75
2010,12.06
2011,12.07
2012,12.06
2013,13.13
2014,12.56
2015,12.77
2016,14.22
2017,12.28
2018,11.56
2019,10.32
2020,12.64
2021,13.25
2022,10.14
2023,11.18
