date,mean autumn hypolimnetic density
1976,1000.2533
1982,1000.2541
1983,1000.2224
1984,1000.2141
1985,1000.2289
1986,1000.221
1987,1000.2125
1988,1000.2115
1989,1000.2102
1990,1000.2063
1992,1000.2128
1993,1000.216
1994,1000.2075
1995,1000.208
1996,1000.2186
1997,1000.1901
1998,1000.2108
1999,1000.2095
2000,1000.1965
2001,1000.1809
2002,1000.1695
2003,1000.2051
2004,1000.1837
2005,1000.1844
2006,1000.2039
2007,1000.1833
2008,1000.1856
2009,1000.2102
2010,1000.2004
2011,1000.1958
2012,1000.186
2013,1000.22
2014,1000.1916
2015,1000.1896
2016,1000.16
2017,1000.1625
2018,1000.1941
2019,1000.1756
2020,1000.1562
2021,1000.1935
2022,1000.1936
2023,1000.2168
