date,mean winter bottom oxygen concentration
1975,0.0
1982,1.22
1983,5.0
1984,8.3
1985,7.77
1986,7.04
1987,7.24
1988,7.47
1989,6.22
1990,6.86
1991,6.71
1992,6.69
1993,6.43
1994,9.84
1995,7.6
1996,6.68
1997,7.47
1998,7.28
1999,6.81
2000,6.97
2001,6.93
2002,7.64
2003,7.62
2004,8.79
2005,7.7
2006,7.49
2007,5.78
2008,7.09
2009,8.07
2014,6.78
