date,mean annual surface temperature
1958,12.19
1959,12.9
1982,12.62
1983,12.48
1984,11.88
1985,12.68
1986,11.97
1987,12.19
1988,12.84
1989,13.55
1990,13.01
1991,12.65
1992,13.07
1993,13.13
1994,13.52
1995,12.8
1996,11.59
1997,13.04
1998,13.13
1999,13.38
2000,13.46
2001,13.5
2002,13.43
2003,14.67
2004,13.37
2005,14.17
2006,13.1
2007,13.44
2008,13.0
2009,12.91
2010,12.95
2011,14.23
2012,13.43
2013,13.5
2014,13.51
