date,mean annual hypolimnetic density
1982,1000.2562
1983,1000.2342
1984,1000.2315
1985,1000.2355
1986,1000.2227
1987,1000.219
1988,1000.2208
1989,1000.2136
1990,1000.2158
1992,1000.2214
1993,1000.2186
1994,1000.2104
1995,1000.2143
1997,1000.2118
1998,1000.2014
1999,1000.2134
2000,1000.204
2001,1000.1917
2002,1000.1881
2003,1000.2203
2004,1000.203
2005,1000.2022
2006,1000.2095
2007,1000.1958
2008,1000.1966
2009,1000.2144
2010,1000.2083
2011,1000.2033
2012,1000.1952
2013,1000.2223
2014,1000.1978
