date,mean summer thermocline depth
1966,4.62
1974,6.57
1976,5.48
1982,4.52
1983,4.63
1984,4.71
1985,4.45
1986,4.41
1987,3.96
1988,4.62
1989,6.04
1990,4.53
1991,6.14
1992,5.12
1993,7.1
1994,5.21
1995,5.35
1996,5.95
1997,6.24
1998,5.84
1999,5.08
2000,6.64
2001,4.75
2002,4.8
2003,5.94
2004,5.93
2005,5.66
2006,5.01
2007,6.96
2008,6.73
2009,7.27
2010,5.64
2011,7.87
2012,6.47
2013,4.59
2014,7.43
2015,5.55
2016,4.98
2017,5.86
2018,6.05
2019,6.42
2020,6.97
2021,7.73
2022,6.73
2023,6.52
