date,mean annual surface conductivity
1982,402.17
1983,375.91
1984,349.28
1985,349.04
1986,356.02
1987,352.05
1988,335.41
1989,362.48
1990,339.25
1992,332.12
1993,368.27
1994,360.75
1995,353.81
1997,362.53
1998,331.11
1999,324.94
2000,361.31
2001,343.39
2002,351.83
2003,348.08
2004,332.65
2005,355.08
2006,339.54
2007,345.71
2008,342.1
2009,340.68
2010,339.58
2011,344.92
2012,352.26
2013,349.58
2014,358.2
